experiment,variant,image_id,file_name,seq_len,gt_seq,pred_seq,old_IDR_correct,IDR2_correct,IRA_exact_sequence
wo.CLIP2SAM,original,351,/home/think/mnt/zpj2025/Vert_detect/vert_all/val/images/351.png,6,"[12, 13, 14, 15, 16, 17]","[12, 13, 0, 15, 16, 17]",5,5,0
wo.CLIP2SAM,original,352,/home/think/mnt/zpj2025/Vert_detect/vert_all/val/images/352.png,10,"[8, 9, 10, 11, 12, 13, 14, 15, 16, 17]","[11, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,0
wo.CLIP2SAM,original,353,/home/think/mnt/zpj2025/Vert_detect/vert_all/val/images/353.png,9,"[9, 10, 11, 12, 13, 14, 15, 16, 17]","[9, 0, 0, 14, 15, 16, 17, 17, 17]",6,2,0
wo.CLIP2SAM,original,354,/home/think/mnt/zpj2025/Vert_detect/vert_all/val/images/354.png,9,"[9, 10, 11, 12, 13, 14, 15, 16, 17]","[11, 12, 13, 14, 15, 16, 17, 17, 17]",9,1,0
wo.CLIP2SAM,original,355,/home/think/mnt/zpj2025/Vert_detect/vert_all/val/images/355.png,7,"[11, 12, 13, 14, 15, 16, 17]","[11, 12, 13, 14, 15, 16, 17]",7,7,1
wo.CLIP2SAM,original,356,/home/think/mnt/zpj2025/Vert_detect/vert_all/val/images/356.png,9,"[9, 10, 11, 12, 13, 14, 15, 16, 17]","[11, 12, 13, 14, 15, 16, 17, 17, 17]",9,1,0
wo.CLIP2SAM,original,357,/home/think/mnt/zpj2025/Vert_detect/vert_all/val/images/357.png,9,"[9, 10, 11, 12, 13, 14, 15, 16, 17]","[11, 0, 13, 14, 15, 16, 17, 16, 17]",8,2,0
wo.CLIP2SAM,original,358,/home/think/mnt/zpj2025/Vert_detect/vert_all/val/images/358.png,6,"[12, 13, 14, 15, 16, 17]","[11, 12, 13, 15, 16, 0]",2,2,0
wo.CLIP2SAM,original,359,/home/think/mnt/zpj2025/Vert_detect/vert_all/val/images/359.png,7,"[11, 12, 13, 14, 15, 16, 17]","[11, 12, 13, 14, 15, 16, 17]",7,7,1
wo.CLIP2SAM,original,360,/home/think/mnt/zpj2025/Vert_detect/vert_all/val/images/360.png,9,"[9, 10, 11, 12, 13, 14, 15, 16, 17]","[11, 12, 13, 14, 15, 16, 17, 17, 17]",8,1,0
